token,frequency,length_glyphs,neighbors_distance_1,examples_distance_1,neighbors_distance_2,examples_distance_2,neighbors_within_2
B1A3C1,225,3,17,B1A3G1|A3C1|B1A3B2|B1A3F1|B1A3F3|B1A3B3|K1A3C1|C2A3C1|B1A1C1|Q1A3C1,55,A3G1|A1C1|B1A2|A3B2|K1A1C1|C1|A1Q2A3C1|A1Q1A3C1|C2A3G1|A3F1,72
D1A1Q1K2B1A2,224,6,6,D1A1Q1K2A2|D1A1Q1J1B1A2|A1Q1K2B1A2|D1A1Q2K2B1A2|D1A1Q1K1B1A2|D1A1K2B1A2,20,A1Q1K2A2|D1A1Q1A2|A1Q1J1B1A2|A1Q2K2B1A2|D1A1Q2J1B1A2|D1A1Q1J1A2|D1A1Q1K1A2|Q1K2B1A2|A1B2Q1K2B1A2|D1A1Q2K2A2,26
D1A1Q1K2A2,203,5,8,D1A1Q1K2B1A2|A1Q1K2A2|D1A1Q1A2|D1A1Q1J1A2|D1A1Q1K1A2|D1A1Q2K2A2|D1A1Q1M1A2|D1A1K2A2,27,D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1J1B1A2|D1A1Q1A3B2|D1A1Q1A3C1|A1Q2K2A2|D1A1Q1A1B2|A1Q1A2|A1Q1K2B1A2|D1A1Q2A2,35
D1A1Q1A3F1,201,5,6,D1A1Q1A3G1|D1A1Q1A3B2|D1A1Q1A3C1|A1Q1A3F1|D1A1Q2A3F1|D1A1Q1A3B3,21,D1A1Q1K2A2|A1Q1A3G1|A1Q1A3C1|A1Q1A3B2|D1A1Q1A2|D1A1Q1A1B2|A1Q2A3F1|D1A1Q2A3G1|D1A1Q1J1A2|D1A1Q1K1A2,27
A2,200,1,14,C2|B1A2|A1|B2|K1A2|C1|U2A2|L1A2|B1|C2A2,45,A1B2|A3G1|A1C1|A3C1|K1J1A2|L1J1A2|A3B2|K1K2A2|K1B1A2|L1K2A2,59
D1A1Q1A3G1,197,5,8,D1A1Q1A3F1|A1Q1A3G1|D1A1Q1A3B2|D1A1Q1A3C1|D1A1Q2A3G1|D1A1B1A3G1|D1A1Q1A3B3|D1A1A3G1,26,D1A1Q1K2A2|A1Q2A3G1|A1Q1A3C1|A1Q1A3B2|D1A1Q1A2|A1Q1A3F1|D1A1Q1A1B2|Q1A3G1|D1A1Q1J1A2|D1A1Q1K1A2,34
D1A1Q1J1B1A2,193,6,7,D1A1Q1K2B1A2|A1Q1J1B1A2|D1A1Q2J1B1A2|D1A1Q1J1A2|D1A1Q1K1B1A2|D1A1Q1K1J1B1A2|D1A1Q1J1A1B1A2,23,D1A1Q1K2A2|A1Q2J1B1A2|D1A1Q1A2|A1Q1K2B1A2|D1A1Q2K2B1A2|D1A1Q1K1A2|Q1J1B1A2|A1Q1J1A2|D1A1Q1J1A1B2|D1A1P1K1J1B1A2,30
B1A2,182,2,15,A2|K1A2|K1B1A2|U2A2|L1A2|A1B1A2|B1|C2A2|L1B1A2|Q1A2,67,B1A3G1|A1B2|K1J1B1A2|A3G1|A1C1|A3C1|L1J1B1A2|C2|K1J1A2|B1A3C1,82
L1J1A2,174,3,12,L1J1B1A2|K1J1A2|L1K2A2|L1A2|U2J1A2|L1J1A1|L1U1A2|L1B1A2|L1J1U1A2|L1J1Q1A2,55,K1J1B1A2|A2|B1A2|K1K2A2|L1A1B2|K1A2|K1B1A2|K1U1A2|U2A2|A1Q2A2,67
A3B2,171,2,17,A1B2|A3G1|A3C1|B1A3B2|B2|A3F1|A3B3|A3F3|A3H1|C2A3B2,66,B1A3G1|A1C1|K1A1B2|C2|B1A3C1|A2|B1A2|B1A3F1|L1A1B2|A1,83
B1A3B2,158,3,18,B1A3G1|B1A3C1|A3B2|B1A3F1|B1A3F3|B1A1B2|B1A3B3|C2A3B2|K1A3B2|B1A3B2A2,52,A1B2|A3G1|K1A1B2|A3C1|B1A2|L1A1B2|B2|D1A1B2|A1Q1A3B2|A1Q2A3B2,70
K1A1C1,151,3,16,A1C1|K1A1B2|L1A1C1|K1J1A1C1|K1A3C1|K1A1|B1A1C1|U2A1C1|C2A1C1|B2A1C1,56,A1B2|A3C1|K1J1A2|B1A3C1|K1K2A2|L1A1B2|A1|K1J1A1B2|K1A2|K1B1A2,72
B1A3F1,149,3,12,B1A3G1|B1A3C1|B1A3B2|A3F1|B1A3F3|B1A3B3|C2A3F1|Q1A3F1|C1A3F1|B1A3H1,44,A3G1|A3C1|B1A2|A3B2|C2A3G1|A1Q1A3F1|B1A1B2|A1Q2A3F1|A3B3|Q1A3G1,56
A1Q1A3G1,147,4,15,D1A1Q1A3G1|A1Q2A3G1|A1Q1A3C1|A1Q1A3B2|A1Q1A3F1|Q1A3G1|A1B1A3G1|A2Q1A3G1|A1B2A3G1|B2Q1A3G1,44,B1A3G1|A3G1|D1A1Q1A3F1|D1A1Q1A3B2|A1Q1K2A2|D1A1Q1A3C1|A1Q2A3C1|A1Q2A3B2|C2A3G1|A1Q2A3F1,59
D1A1Q1A3B2,138,5,7,D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1A3C1|A1Q1A3B2|D1A1Q1A1B2|D1A1Q2A3B2|D1A1Q1A3B3,25,D1A1Q1K2A2|A1Q1A3G1|D1A1B2|A1Q1A3C1|A1Q2A3B2|D1A1Q1A2|A1Q1A3F1|D1A1Q2A3G1|A1Q1A1B2|D1A1Q1J1A2,32
K1K2A2,137,3,13,K1J1A2|K1A2|K1B1A2|L1K2A2|K1U1A2|K1U2A2|K1K2B1A2|Q1K2A2|K1K2C2|K1K2Q1A2,58,K1J1B1A2|K1A1B2|A2|B1A2|L1J1A2|K1A1C1|A1Q1K2A2|A1Q2K2A2|U2A2|A1Q2A2,71
L1A1B2,133,3,14,A1B2|K1A1B2|D1A1B2|L1A1|L1J1A1B2|B1A1B2|L1A1C1|C2A1B2|U2A1B2|Q2A1B2,49,A1C1|L1J1A2|A3B2|B1A3B2|K1A1C1|A1|B2|K1J1A1B2|L1K2A2|L1A2,63
A1,127,1,14,A1B2|A1C1|C2|A2|B2|C1|L1A1|K1A1|D1A1|A1G1,51,A3G1|K1A1B2|A3C1|B1A2|A3B2|K1A1C1|L1A1B2|K1A2|D1A1B2|U2A2,65
A1Q1K2A2,126,4,11,D1A1Q1K2A2|A1Q2K2A2|A1Q1A2|A1Q1K2B1A2|A2Q1K2A2|Q1K2A2|A1Q1J1A2|B2Q1K2A2|A1B2Q1K2A2|A1Q1K1A2,44,D1A1Q1K2B1A2|A1Q1A3G1|K1K2A2|L1K2A2|A1Q1A3C1|A1Q1A3B2|D1A1Q1A2|A1Q1A3F1|A1Q2A2|A1Q1J1B1A2,55
B2,126,1,10,A1B2|C2|A2|A3B2|A1|C1|B1|K1B2|B1B2|B4,45,A3G1|A1C1|K1A1B2|A3C1|B1A2|B1A3B2|L1A1B2|K1A2|D1A1B2|U2A2,55
K1J1A1B2,126,4,8,K1A1B2|L1J1A1B2|K1J1A1C1|K1J1A1|K1J1A1C2|K1J1A3B2|Q1J1A1B2|Q2J1A1B2,36,A1B2|K1J1B1A2|K1J1A2|K1A1C1|L1A1B2|D1A1B2|B1A1B2|K1J1A1B1A2|A1Q1A1B2|A1Q2A1B2,44
A1Q2J1B1A2,119,5,10,A1Q1J1B1A2|A1Q2K2B1A2|D1A1Q2J1B1A2|A1Q2J1A2|A1Q2K1J1B1A2|A1Q2J1A1B1A2|A1Q2K1B1A2|Q2J1B1A2|A1Q2A1B1A2|A2Q2J1B1A2,36,K1J1B1A2|L1J1B1A2|D1A1Q1J1B1A2|A1Q2K2A2|A1Q2A2|B2K1J1B1A2|A1Q1K2B1A2|D1A1Q2K2B1A2|A1B1A2|Q1J1B1A2,46
D1A1Q1A3C1,115,5,7,D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1A3B2|A1Q1A3C1|D1A1Q2A3C1|D1A1Q1A1C1|D1A1Q1A3B3,25,D1A1Q1K2A2|A1Q1A3G1|A1Q2A3C1|A1Q1A3B2|D1A1Q1A2|A1Q1A3F1|D1A1Q1A1B2|D1A1Q2A3G1|D1A1Q1J1A2|D1A1Q1K1A2,32
K1A2,114,2,18,K1J1A2|A2|B1A2|K1K2A2|K1B1A2|K1U1A2|U2A2|L1A2|K1U2A2|K1A1,71,A1B2|K1J1B1A2|A3G1|A1C1|K1A1B2|A3C1|C2|L1J1A2|A3B2|K1A1C1,89
A1Q2A3G1,113,4,13,A1Q1A3G1|A1Q2A3C1|A1Q2A3B2|A1Q2A3F1|D1A1Q2A3G1|A1B1A3G1|A1Q2A3B3|A2Q2A3G1|A1B2A3G1|Q2A3G1,37,B1A3G1|A3G1|D1A1Q1A3G1|A1Q2K2A2|A1Q1A3C1|A1Q1A3B2|C2A3G1|A1Q1A3F1|A1Q2A2|Q1A3G1,50
K1B1A2,112,3,12,K1J1B1A2|K1J1A2|B1A2|K1K2A2|K1A2|K1U1A2|K1A1B1A2|K1U2A2|K1K2B1A2|A1B1A2,73,K1A1B2|L1J1B1A2|A2|L1J1A2|K1A1C1|L1K2A2|U2A2|A1Q2A2|B2K1J1B1A2|L1A2,85
C1,111,1,8,A1C1|A3C1|C2|A2|A1|B2|B1|B4,46,A1B2|A3G1|B1A3C1|B1A2|A3B2|K1A1C1|K1A2|U2A2|A3F1|L1A1,54
L1K2A2,106,3,9,L1J1A2|K1K2A2|L1A2|L1K2B1A2|Q1K2A2|L1U1A2|L1B1A2|L1U2A2|Q2K2A2,49,L1J1B1A2|K1J1A2|A2|B1A2|L1A1B2|A1Q1K2A2|K1A2|K1B1A2|A1Q2K2A2|K1U1A2,58
A1Q2K2A2,103,4,8,A1Q1K2A2|A1Q2A2|A1Q2K2B1A2|A1Q2J1A2|D1A1Q2K2A2|A1Q2K1A2|A2Q2K2A2|Q2K2A2,41,D1A1Q1K2A2|K1K2A2|A1Q2J1B1A2|A1Q2A3G1|L1K2A2|A1Q2A3C1|A1Q2A3B2|A1Q2A3F1|A1Q1A2|A1Q1K2B1A2,49
D1A1B2,103,3,13,A1B2|K1A1B2|L1A1B2|B1A1B2|C2A1B2|U2A1B2|D1A1|Q2A1B2|Q1A1B2|B2A1B2,47,A1C1|A3B2|B1A3B2|K1A1C1|D1A1Q1A3B2|A1|B2|K1J1A1B2|D1A1Q1A2|L1A1,60
A1Q2A3C1,97,4,11,A1Q2A3G1|A1Q1A3C1|A1Q2A3B2|A1Q2A3F1|D1A1Q2A3C1|A1Q2A3B3|A1Q2A1C1|Q2A3C1|A1B1A3C1|A1Q2A3F3,39,A1C1|A3C1|B1A3C1|A1Q1A3G1|D1A1Q1A3C1|A1Q2K2A2|A1Q1A3B2|A1Q1A3F1|A1Q2A2|D1A1Q2A3G1,50
A1Q1A3C1,96,4,13,A1Q1A3G1|D1A1Q1A3C1|A1Q2A3C1|A1Q1A3B2|A1Q1A3F1|Q1A3C1|A1Q1A3B3|A2Q1A3C1|A1B1A3C1|A1Q1A1C1,47,A1C1|A3C1|B1A3C1|D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1A3B2|A1Q1K2A2|A1Q2A3G1|A1Q2A3B2|A1Q2A3F1,60
A1Q1A3B2,94,4,11,A1Q1A3G1|D1A1Q1A3B2|A1Q1A3C1|A1Q2A3B2|A1Q1A3F1|A1Q1A1B2|A1Q1A3B3|A1B1A3B2|A1Q1A3F3|Q1A3B2,46,A1B2|D1A1Q1A3F1|D1A1Q1A3G1|A3B2|B1A3B2|A1Q1K2A2|D1A1Q1A3C1|A1Q2A3G1|A1Q2A3C1|D1A1Q1A1B2,57
A1Q2A3B2,93,4,10,A1Q2A3G1|A1Q2A3C1|A1Q1A3B2|A1Q2A3F1|A1Q2A1B2|D1A1Q2A3B2|A1Q2A3B3|A1Q2A3F3|A1B1A3B2|Q2A3B2,39,A1B2|A3B2|B1A3B2|A1Q1A3G1|D1A1Q1A3B2|A1Q2K2A2|A1Q1A3C1|A1Q1A3F1|A1Q2A2|D1A1Q2A3G1,49
C2A3G1,92,3,13,B1A3G1|A3G1|Q1A3G1|C2A3C1|C1A3G1|C2A3F1|K1A3G1|Q2A3G1|C2A3B2|C2A3F3,41,A3C1|C2|B1A3C1|A3B2|B1A3B2|B1A3F1|A1Q1A3G1|A1Q2A3G1|A3F1|B1A3F3,54
D1A1Q1A2,92,4,9,D1A1Q1K2A2|A1Q1A2|D1A1Q2A2|D1A1Q1J1A2|D1A1Q1K1A2|D1A1Q1M1A2|K1A1Q1A2|D1A1B1A2|D1A1K2A2,39,D1A1Q1K2B1A2|D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1J1B1A2|D1A1Q1A3B2|A1Q1K2A2|D1A1Q1A3C1|D1A1B2|A1Q2A2|D1A1Q1A1B2,48
A1Q1A3F1,91,4,10,D1A1Q1A3F1|A1Q1A3G1|A1Q1A3C1|A1Q1A3B2|A1Q2A3F1|A1B2Q1A3F1|Q1A3F1|B2Q1A3F1|A1Q1A3B3|A1Q1A3F3,39,D1A1Q1A3G1|B1A3F1|D1A1Q1A3B2|A1Q1K2A2|D1A1Q1A3C1|A1Q2A3G1|A1Q2A3C1|A1Q2A3B2|A3F1|A1Q1A2,49
K1U1A2,90,3,10,K1J1A2|K1K2A2|K1A2|K1B1A2|K1U2A2|K1J1U1A2|L1U1A2|U1A2|K1U1J1A2|K1A1U1A2,54,K1J1B1A2|K1A1B2|A2|B1A2|L1J1A2|K1A1C1|L1K2A2|U2A2|A1Q2A2|L1A2,64
U2A2,87,2,11,A2|B1A2|K1A2|L1A2|K1U2A2|U2J1A2|C2A2|Q1A2|U1A2|L1U2A2,52,A1B2|A3G1|A1C1|A3C1|C2|K1J1A2|L1J1A2|A3B2|K1K2A2|A1,63
A3F1,86,2,12,A3G1|A3C1|A3B2|B1A3F1|A3B3|A3F3|C2A3F1|A3H1|Q1A3F1|A3G3,55,B1A3G1|A1B2|A1C1|C2|B1A3C1|A2|B1A2|B1A3B2|A1|B2,67
A1Q2A2,82,3,11,A1Q2K2A2|A1Q1A2|D1A1Q2A2|A1B2A2|A1B1A2|A1Q2J1A2|A1Q2K1A2|K1A1Q2A2|A2Q2A2|Q2A2,68,A1B2|A1C1|K1J1A2|A2|B1A2|L1J1A2|K1K2A2|A1|A1Q1K2A2|A1Q2J1B1A2,79
L1A1,82,2,8,L1A1B2|A1|L1A2|L1A1C1|K1A1|D1A1|L1J1A1|L1J1,60,A1B2|A3G1|A1C1|K1A1B2|A3C1|C2|A2|B1A2|L1J1A2|A3B2,68
B1A3F3,80,3,9,B1A3G1|B1A3C1|B1A3B2|B1A3F1|B1A3B3|A3F3|C2A3F3|B1A3H1|B1A3G3,45,A3G1|A3C1|B1A2|A3B2|C2A3G1|A3F1|B1A1B2|A3B3|Q1A3G1|K1A3C1,54
B2K1J1B1A2,80,5,9,K1J1B1A2|B2K1J1A2|Q2K1J1B1A2|B2L1J1B1A2|P1K1J1B1A2|A1B2K1J1B1A2|B1K1J1B1A2|B2Q1J1B1A2|Q1K1J1B1A2,25,L1J1B1A2|K1J1A2|A1Q2J1B1A2|K1B1A2|A1Q1J1B1A2|K1J1A1B1A2|K1A1B1A2|K1K2B1A2|K1J1Q1A2|Q1J1B1A2,34
D1A1Q1A1B2,77,5,6,D1A1Q1A3B2|A1Q1A1B2|D1A1Q2A1B2|D1A1Q1J1A1B2|D1A1Q1A1C1|D1A1Q1K1A1B2,17,D1A1Q1K2A2|D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1A3C1|D1A1B2|A1Q1A3B2|D1A1Q1A2|D1A1Q1J1A2|A1Q2A1B2|D1A1Q1K1A2,23
L1J1A1B2,76,4,6,L1A1B2|K1J1A1B2|L1J1A1C1|L1J1A1|Q1J1A1B2|Q2J1A1B2,31,A1B2|K1A1B2|L1J1B1A2|L1J1A2|D1A1B2|L1A1|B1A1B2|L1A1C1|K1J1A1C1|A1Q1A1B2,37
A1Q1J1B1A2,75,5,11,D1A1Q1J1B1A2|A1Q2J1B1A2|A1Q1K2B1A2|Q1J1B1A2|A1Q1J1A2|A1Q1J1A1B1A2|A1Q1K1B1A2|B2Q1J1B1A2|A1Q1K1J1B1A2|A2Q1J1B1A2,41,K1J1B1A2|L1J1B1A2|D1A1Q1K2B1A2|A1Q1K2A2|B2K1J1B1A2|A1Q2K2B1A2|A1Q1A2|D1A1Q2J1B1A2|D1A1Q1J1A2|Q1K2B1A2,52
B1A1B2,75,3,15,A1B2|K1A1B2|B1A3B2|L1A1B2|D1A1B2|C2A1B2|U2A1B2|B1A1C1|Q2A1B2|Q1A1B2,50,B1A3G1|A1C1|B1A3C1|B1A2|A3B2|K1A1C1|B1A3F1|A1|B2|K1J1A1B2,65
L1A2,75,2,15,A2|B1A2|L1J1A2|K1A2|L1K2A2|U2A2|L1A1|C2A2|L1U1A2|L1B1A2,54,A1B2|A3G1|A1C1|A3C1|L1J1B1A2|C2|K1J1A2|A3B2|K1K2A2|L1A1B2,69
A1Q2A3F1,72,4,7,A1Q2A3G1|A1Q2A3C1|A1Q2A3B2|A1Q1A3F1|D1A1Q2A3F1|A1Q2A3B3|A1Q2A3F3,34,D1A1Q1A3F1|B1A3F1|A1Q1A3G1|A1Q2K2A2|A1Q1A3C1|A1Q1A3B2|A3F1|A1Q2A2|D1A1Q2A3G1|A1Q2A1B2,41
L1A1C1,72,3,13,A1C1|K1A1C1|L1A1B2|L1A1|B1A1C1|U2A1C1|C2A1C1|L1J1A1C1|B2A1C1|L1A3C1,45,A1B2|K1A1B2|A3C1|B1A3C1|L1J1A2|A1|C1|L1K2A2|D1A1B2|L1J1A1B2,58
A1Q2K2B1A2,71,5,7,A1Q2J1B1A2|A1Q2K2A2|A1Q1K2B1A2|D1A1Q2K2B1A2|A2Q2K2B1A2|A1Q2K1B1A2|A1Q2A1B1A2,27,D1A1Q1K2B1A2|A1Q1K2A2|A1Q2A2|A1Q1J1B1A2|D1A1Q2J1B1A2|L1K2B1A2|K1K2B1A2|Q1K2B1A2|A1B1A2|A1B2Q1K2B1A2,34
A1Q1A2,70,3,14,A1Q1K2A2|D1A1Q1A2|A1Q2A2|A1B2A2|A1B1A2|A1Q1J1A2|Q1A2|A1Q1K1A2|K1A1Q1A2|A1B2Q1A2,72,A1B2|A1C1|K1J1A2|D1A1Q1K2A2|A2|B1A2|L1J1A2|A1Q1A3G1|K1K2A2|A1,86
A1Q1K2B1A2,70,5,9,D1A1Q1K2B1A2|A1Q1K2A2|A1Q1J1B1A2|A1Q2K2B1A2|Q1K2B1A2|A1B2Q1K2B1A2|B2Q1K2B1A2|A2Q1K2B1A2|A1Q1K1B1A2,31,D1A1Q1K2A2|D1A1Q1J1B1A2|A1Q2J1B1A2|A1Q2K2A2|A1Q1A2|D1A1Q2K2B1A2|L1K2B1A2|K1K2B1A2|A2Q1K2A2|A1B1A2,40
A3B3,69,2,9,A3G1|A3C1|A3B2|A3F1|B1A3B3|A3F3|A3H1|A3G3|A1B3,57,B1A3G1|A1B2|A1C1|C2|B1A3C1|A2|B1A2|B1A3B2|B1A3F1|A1,66
K1J1A1B1A2,69,5,3,K1J1B1A2|K1A1B1A2|L1J1A1B1A2,29,L1J1B1A2|K1J1A2|K1J1A1B2|K1B1A2|B2K1J1B1A2|K1J1A1C1|K1J1A1|K1K2B1A2|L1A1B1A2|K1J1Q1A2,32
D1A1Q2A2,68,4,8,D1A1Q1A2|A1Q2A2|D1A1Q2K1A2|D1A1Q2K2A2|K1A1Q2A2|D1A1Q2J1A2|D1A1B1A2|D1A1K2A2,33,D1A1Q1K2A2|A1Q2K2A2|D1A1B2|A1Q1A2|D1A1Q2A3G1|K1A1B1A2|D1A1Q2J1B1A2|D1A1Q2K2B1A2|D1A1Q1J1A2|D1A1Q1K1A2,41
B1A3B3,66,3,8,B1A3G1|B1A3C1|B1A3B2|B1A3F1|B1A3F3|A3B3|B1A3H1|B1A3G3,47,A3G1|A3C1|B1A2|A3B2|C2A3G1|A3F1|B1A1B2|Q1A3G1|A3F3|K1A3C1,55
D1A1Q2A3G1,66,5,7,D1A1Q1A3G1|A1Q2A3G1|D1A1Q2A3B2|D1A1Q2A3F1|D1A1Q2A3C1|D1A1B1A3G1|D1A1A3G1,24,D1A1Q1A3F1|A1Q1A3G1|D1A1Q1A3B2|D1A1Q1A3C1|A1Q2A3C1|A1Q2A3B2|A1Q2A3F1|D1A1Q2A2|A1B1A3G1|D1A1Q2K1A2,31
K1A1B1A2,64,4,11,K1J1B1A2|K1B1A2|K1J1A1B1A2|K1K2B1A2|L1A1B1A2|A1B1A2|K1A1Q2A2|K1A1Q1A2|K1A1U1A2|D1A1B1A2,39,K1A1B2|L1J1B1A2|K1J1A2|B1A2|K1A1C1|K1K2A2|K1A2|D1A1Q1A2|K1U1A2|A1Q2A2,50
K1J1A1C1,64,4,6,K1A1C1|K1J1A1B2|K1J1A1|K1J1A3C1|L1J1A1C1|K1J1A1C2,34,K1J1B1A2|A1C1|K1A1B2|K1J1A2|L1J1A1B2|L1A1C1|K1J1A1B1A2|K1A3C1|K1A1|K1J1Q1A2,40
D1A1Q2J1B1A2,62,6,6,D1A1Q1J1B1A2|A1Q2J1B1A2|D1A1Q2K2B1A2|D1A1Q2K1J1B1A2|D1A1Q2J1A2|D1A1Q2K1B1A2,21,D1A1Q1K2B1A2|A1Q1J1B1A2|A1Q2K2B1A2|D1A1Q2A2|D1A1Q1J1A2|D1A1Q2K1A2|D1A1Q1K1B1A2|A1Q2J1A2|D1A1Q2K2A2|D1A1Q1K1J1B1A2,27
Q1A3G1,62,3,14,B1A3G1|A3G1|A1Q1A3G1|C2A3G1|C1A3G1|Q1A3C1|A2Q1A3G1|K1A3G1|B2Q1A3G1|Q2A3G1,51,A3C1|B1A3C1|D1A1Q1A3G1|A3B2|B1A3B2|B1A3F1|A1Q2A3G1|A1Q1A3C1|A1Q1A3B2|A1Q1A3F1,65
D1A1Q2K2B1A2,61,6,6,D1A1Q1K2B1A2|A1Q2K2B1A2|D1A1Q2J1B1A2|D1A1Q2K2A2|D1A1Q2K1B1A2|D1A1K2B1A2,16,D1A1Q1K2A2|D1A1Q1J1B1A2|A1Q2J1B1A2|A1Q2K2A2|A1Q1K2B1A2|D1A1Q2A2|D1A1Q2K1A2|D1A1Q1K1B1A2|A2Q2K2B1A2|A1Q2K1B1A2,22
A3F3,60,2,9,A3G1|A3C1|A3B2|A3F1|B1A3F3|A3B3|A3H1|A3G3|C2A3F3,57,B1A3G1|A1B2|A1C1|C2|B1A3C1|A2|B1A2|B1A3B2|B1A3F1|A1,66
A1Q1A1B2,59,4,6,A1Q1A3B2|D1A1Q1A1B2|A1Q2A1B2|A1Q1J1A1B2|Q1A1B2|A1Q1A1C1,44,A1B2|K1A1B2|A1Q1A3G1|D1A1Q1A3B2|L1A1B2|A1Q1K2A2|K1J1A1B2|D1A1B2|A1Q1A3C1|A1Q2A3B2,50
D1A1Q1J1A2,59,5,8,D1A1Q1K2A2|D1A1Q1J1B1A2|D1A1Q1A2|D1A1Q1K1A2|A1Q1J1A2|D1A1Q1M1A2|D1A1Q1K1J1A2|D1A1Q2J1A2,29,D1A1Q1K2B1A2|D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1A3B2|A1Q1K2A2|D1A1Q1A3C1|D1A1Q1A1B2|A1Q1J1B1A2|A1Q1A2|D1A1Q2A2,37
K1U2A2,59,3,9,K1J1A2|K1K2A2|K1A2|K1B1A2|K1U1A2|U2A2|K1J1U2A2|L1U2A2|K1A1U2A2,54,K1J1B1A2|K1A1B2|A2|B1A2|L1J1A2|K1A1C1|L1K2A2|A1Q2A2|L1A2|A1Q1A2,63
A1Q2A1B2,56,4,8,A1Q2A3B2|A1Q1A1B2|D1A1Q2A1B2|Q2A1B2|A1Q2A1C1|A1Q2J1A1B2|A1Q2K1A1B2|A2Q2A1B2,38,A1B2|K1A1B2|L1A1B2|K1J1A1B2|A1Q2A3G1|A1Q2K2A2|D1A1B2|A1Q2A3C1|A1Q1A3B2|A1Q2A2,46
K1A3C1,56,3,12,A3C1|B1A3C1|K1A1C1|C2A3C1|Q1A3C1|K1J1A3C1|K1A3G1|Q2A3C1|K1A3B2|L1A3C1,68,B1A3G1|A3G1|A1C1|K1A1B2|K1J1A2|A3B2|B1A3B2|B1A3F1|K1K2A2|K1A2,80
K1A1,55,2,10,K1A1B2|K1A1C1|A1|K1A2|L1A1|K1J1A1|D1A1|K1B2|K1A1C2|K1K2A1,74,A1B2|A3G1|A1C1|A3C1|C2|K1J1A2|A2|B1A2|A3B2|K1K2A2,84
K1J1A1,55,3,8,K1J1A2|K1J1A1B2|K1J1A1C1|K1A1|K1J1C2|L1J1A1|K1J1A1C2|K1K2A1,36,K1J1B1A2|K1A1B2|L1J1A2|K1A1C1|K1K2A2|A1|K1A2|K1B1A2|K1U1A2|L1A1,44
