source_id,language,seed,base_mapping_identical_to_phase3a4,master_suffix_inventory_order_identical_to_phase3a4_K16,parent_master_key_identical,encoded_base_identical_train_validation,token_length_identical_train_validation,base_token_comparisons,parent_corpus_sha256,parent_key_sha256,new_corpus_sha256,new_key_sha256
italian_old_ud218,Italian,40814041438,True,True,True,True,True,16847,55636eb6a8b10440452ffa82a70bcaa8cd1c8a3ae2418764fb54102124fb7397,507139bbf6a26b81892feef01f07b276f15d5b88ac60b52479b365a030b70cf0,00c9d512432ada0d5b53ed2faa7c53224738efad1f143abb0948119e21ddb281,0f7bbe1b792d9a8ad721f621956512a7c93a8916c57060e7a013daffaf27f9b8
italian_old_ud218,Italian,40814041439,True,True,True,True,True,16847,055d0dca911c0b1054dfcad90cd36197de496ee6e73521531ebd10248a6bb115,6467914b8fc1e6a195505627f79b5f4a908c4a6705d9b6c7cddb69a40d1e2f0a,ac007025ceca0ecb7c3049f9c43547ba6db5d647e571e3bf8fbd53dc2766ad05,5f327581be281f22f1f8696336d5a58eb490f296bffad493be373ec70f2a5466
italian_old_ud218,Italian,40814041440,True,True,True,True,True,16847,b433db4360f648f1c42b58b2ed657abf8fa3056f72647c1a908eb6270218acbf,d7cfd134ea577d0d1127199ac92bd4f14b7a3c3a57b4f2735ed85cbae58b9623,83e5f7355c1ae8876d730c28b55f294b9fb3d942d834ada0d2cc12f4bf7f8544,73172f31fd7bb5c2d04fb67745ccd498c17e5e370b72a649a491846c207a8714
italian_old_ud218,Italian,40814041441,True,True,True,True,True,16847,91bf1e1ae9b4f9d68642b39db153f25420042dad8c2dfcfc1d94b45aa66742fa,6d63e70d4354f4fdb6e6e4e6b0949da2cddf28cc6c02e57bb18d83026301ee4c,58b0988ce98f55cb4090deb52e6ba339c8edfe814777cc43680e61993aeb63ec,6fa1c125b38ddf1d8d16b34a1f1c8dc0ac110c0cb6faac7dc1328c87d5256418
italian_old_ud218,Italian,40814041442,True,True,True,True,True,16847,13c8e4ec41074c2334e4342117ad40262d11d558ba60cc2760b27165a7c5ff7d,c082eddd805780c2c6d19a6b1b088023b02e52de6c186f6431427253f67c90c8,a8a6d52f4f503c7613683bdb984853ae21365be769d81339df24c7f2798e30c0,a8515b1e711aa21a78d2775fd8295b08fd85ebf932b327a8a0cb3252187b7daf
latin_udante_ud218,Latin,40814041438,True,True,True,True,True,16723,2769442efbd231f5157233e7b93ef28a62199766d6ad25796db1562d4946c650,c270df5e7986288ace4d01ccf81384bd77f1d733d6e04972a191d2cb22feb14f,1758aba2c3cf7e5fd0baa572c6506c2d7ccde75e7eed1e15d30cbc4640614d3e,4cd156826c8aa7158af18c5888c8303815f072bb368c7609834a45a2d4cc73cc
latin_udante_ud218,Latin,40814041439,True,True,True,True,True,16723,1f3695282785765205ac3eadc2b39a879acb71e020086757f735e6727ceffe86,ada50c07809325ccb996b66270b1d286306f78332a24ffd4fe151966ae143eff,a4eccd8ef91e6c448e5d8521135f128b3a192a14518d8a04172e12dc011425c3,eca6d371e942e118602883cdf19a32df7c639ab6e7593af6e39faaac327572f1
latin_udante_ud218,Latin,40814041440,True,True,True,True,True,16723,dfc1b42806c8fb000f3a4a776418ed7db1902db980dae8dd7ae4a02a51390d95,85a7676675134c696e3ff858769fb4b195a366e01a55b06fc5ad0a5faedd44ab,7e406cf1b28ba403462fa49ab3190c94dbdce80d7cf90a65970ea9e0b4cdd891,5051c002b40cca6ba48be3a5a97e82d2b8118b6e1b8940a6ad4642a879384c4a
latin_udante_ud218,Latin,40814041441,True,True,True,True,True,16723,ac99a48b564909c8dcde709b0e53ac20f2c6596164fad0aaf80fbc401933500f,a6f6a7878fbe80ff0a647a315e27ac440756735b32820842cab594ff0599394d,bf2de086348d3a6e0c6e5450c2a07452a7a8d54968b505cb28577215c9add340,4355e6ee9a1c76ec59286ca8d01909b8683c99b6a542020731e98efd979b1ae1
latin_udante_ud218,Latin,40814041442,True,True,True,True,True,16723,361a2f2e2f31ada8562c678f92d241c75eecb61f1539947b6c480b66f0ef4786,74956f92451f1fb85994aff475e791213bcd303c2bd3b3e30d285f2c49642ae7,6fd5cc353d35fd9dc1497779d0fb2b496c8bee03df17808a36254e9b3fecc83a,0af304d46fe1556349ada3519f9461449a70e172915cdd4869c85e49f95ca2aa
